"cname","sname","Sequence","Order","Suborder","Infraorder","Family","Genus","Adult.survival","Age.at.first.breeding","Maximum.longevity","Z","GenFLS","GenFL","GenFS","GenLength","Priority.for.research","rmax1","perc_growth","resid"
"Crested Bobwhite","Colinus cristatus",157,"GALLIFORMES","GALLIFORMES","GALLIFORMES","Odontophoridae","Colinus",0.344961902,0.723446988,6.413837444,0.142143345,1.239948057,1.532298122,1.250075749,1.532298122,"Medium",0.503286387757902,65.4148521240537,-0.0454209598605829
"Sparkling-tailed Woodstar","Tilmatura dupontii",1548,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Tilmatura",0.468684126,0.78188389,6.3241095,0.142143345,1.599725719,1.569674377,1.664003452,1.599725719,"Medium",0.453285919713826,57.3474009442982,-0.00392557662941939
"Snowcap","Microchera albocoronata",1448,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Microchera",0.458581342,0.813368836,6.48839738,0.142143345,1.604042534,1.620036376,1.660368353,1.620036376,"Medium",0.448995788674332,56.6738059141355,-0.00212709198129091
"Slender Sheartail","Doricha enicura",1546,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Doricha",0.478011972,0.795109247,6.392223479,0.142143345,1.638419054,1.590701786,1.710861997,1.638419054,"Medium",0.447391080424714,56.4225917818894,-0.00275064858133578
"Black-crested Coquette","Lophornis helenae",1297,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Lophornis",0.483092146,0.807472855,6.493303136,0.142143345,1.664805712,1.61567579,1.742053636,1.664805712,"Low",0.44303923652907,55.7433441425455,-0.00155377378367688
"Cuban Gnatcatcher","Polioptila lembeyei",8544,"PASSERIFORMES","PASSERI","CERTHIOD OSCINES","Polioptilidae","Polioptila",0.465422222,0.86341564,5.590629441,0.142143345,1.672438033,1.535357622,1.734050824,1.672438033,"Low",0.435924437462206,54.6391941035063,0.00465782527596237
"Bronze Mannikin","Spermestes cucullata",9791,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Estrildidae","Spermestes",0.453189351,0.792145484,7.050001292,0.142143345,1.593341304,1.681658041,1.620932107,1.681658041,"Low",0.455492744325399,57.695022490082,-0.0159960481443221
"Black-tailed Gnatcatcher","Polioptila melanura",8546,"PASSERIFORMES","PASSERI","CERTHIOD OSCINES","Polioptilidae","Polioptila",0.468138066,0.870111842,5.805037028,0.142143345,1.686474104,1.571578615,1.750299041,1.686474104,"Low",0.433716708807779,54.2981693072085,0.00521532442103972
"Beautiful Hummingbird","Calothorax pulcher",1550,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Calothorax",0.497260271,0.855828091,5.376262099,0.142143345,1.688146382,1.498377702,1.844928897,1.688146382,"Low",0.428225016213901,53.4531336553534,0.0105113296280885
"Tricoloured Munia","Lonchura malacca",9808,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Estrildidae","Lonchura",0.453907065,0.814456895,6.981930261,0.142143345,1.617747686,1.691122189,1.645647038,1.691122189,"Low",0.450104602018487,56.8476242690597,-0.0117159976041887
"Red Avadavat","Amandava amandava",9787,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Estrildidae","Amandava",0.430592211,0.76172583,7.325067613,0.142143345,1.49867207,1.694661185,1.517936439,1.694661185,"Low",0.469433517413133,59.908808104043,-0.0314576639463633
"Short-crested Coquette","Lophornis brachylophus",1291,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Lophornis",0.482335607,0.812203912,6.56113019,0.142143345,1.701182499,1.629375523,1.743957406,1.701182499,"Low",0.442206034045665,55.6136324469898,-0.00498848417688785
"Rufous-crested Coquette","Lophornis delattrei",1292,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Lophornis",0.499112413,0.819091097,6.465811388,0.142143345,1.721334697,1.621734807,1.81554704,1.721334697,"Low",0.435552852080137,54.5817431141175,-0.000660186433695864
"American Treecreeper","Certhia americana",8505,"PASSERIFORMES","PASSERI","CERTHIOD OSCINES","Certhiidae","Certhia",0.409365185,0.999452355,6.102818525,0.142143345,1.664175519,1.724861893,1.692545912,1.724861893,"Low",0.422643217854471,52.5989752932511,0.0118453618856643
"Chestnut Munia","Lonchura atricapilla",9809,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Estrildidae","Lonchura",0.476706906,0.861892202,6.902244065,0.142143345,1.733485449,1.720488021,1.772867163,1.733485449,"Low",0.433007608717436,54.1887952445748,0.000496546506140727
"Violet-headed Hummingbird","Klais guimeti",1423,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Klais",0.494635521,0.84948949,6.359021755,0.142143345,1.739078695,1.632632836,1.828259351,1.739078695,"Low",0.430356438186407,53.7805558496504,0.00251186994714803
"Lucifer Hummingbird","Calothorax lucifer",1549,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Calothorax",0.48013524,0.890334241,5.751326801,0.142143345,1.739492024,1.581291983,1.813911442,1.739492024,"Low",0.426049695847068,53.1196867367849,0.0067717069078132
"Lyre-tailed Hummingbird","Nesophlox lyrura",1542,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Nesophlox",0.489069898,0.836201017,6.760508,0.142143345,1.74625187,1.678301828,1.7934159,1.74625187,"Low",0.43488462678584,54.4784821879559,-0.00282874270666339
"Bahama Hummingbird","Nesophlox evelynae",1543,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Nesophlox",0.489069898,0.836201017,6.850057161,0.142143345,1.74625187,1.691030646,1.7934159,1.74625187,"Low",0.43488462678584,54.4784821879559,-0.00282874270666339
"Buff-breasted Flycatcher","Empidonax fulvifrons",5861,"PASSERIFORMES","TYRANNI","NEW WORLD SUBOSCINES","Tyrannidae","Empidonax",0.457693787,0.92300972,6.755061091,0.142143345,1.737409368,1.75199701,1.766986381,1.75199701,"Low",0.425597026883551,53.0503898923445,0.00581061172091824
"Orange-cheeked Waxbill","Estrilda melpoda",9755,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Estrildidae","Estrilda",0.515113017,0.766366093,6.810562284,0.142143345,1.760685689,1.625508357,1.828702338,1.760685689,"Low",0.44225384592835,55.6210728055959,-0.0118224881937413
"Mexican Sheartail","Doricha eliza",1547,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Doricha",0.491908129,0.842951994,6.80855368,0.142143345,1.761972643,1.690922573,1.811099995,1.761972643,"Low",0.432573962499725,54.1219463521359,-0.0022867930359235
"Happy Wren","Pheugopedius felix",8612,"PASSERIFORMES","PASSERI","CERTHIOD OSCINES","Troglodytidae","Pheugopedius",0.43974993,0.913565556,6.901934592,0.142143345,1.67615108,1.764772362,1.698482781,1.764772362,"Low",0.432352276573435,54.0877834725519,-0.00237841314635717
"Green Thorntail","Discosura conversii",1283,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Discosura",0.510815672,0.830057632,6.474761961,0.142143345,1.765753917,1.632414787,1.874276841,1.765753917,"Low",0.429543112518287,53.655533025348,0.000321028597068507
