"Species","Trend_q0.025","Trend_q0.500","Trend_q0.975","Current_Prob_Exceed_StatusQuo","Current_Prob_Exceed_Recovery","Current_Prob_Exceed_Baseline","Recovery_Index_2050_q0.025","Recovery_Index_2050_q0.500","Recovery_Index_2050_q0.975","Recovery_percent_2050_q0.025","Recovery_percent_2050_q0.500","Recovery_percent_2050_q0.975","Year_of_Full_Recovery_q0.025","Year_of_Full_Recovery_q0.500","Year_of_Full_Recovery_q0.975"
"Chestnut-collared Longspur",-8.10196983808918,-7.08394008202943,-6.10702249236045,0,0,0,1.273,2.029,3.206125,2.45355701620703,4.75420057637088,8.79746243073162,NA,NA,NA
"Lark Bunting",-11.9517153127302,-9.39790178712582,-6.68914298947394,0,0,0,0.015,0.073,0.34005,0.136976291306221,0.870244113057485,5.13689776034783,NA,NA,NA
"Grasshopper Sparrow",-3.55707791487328,-2.32544066776432,-1.14038223104494,0,0,0,0.316,0.494,0.80005,39.0797000626096,73.4345258323856,133.125780343738,2041,2061,2082
"Northern Mockingbird",-3.15780680100258,-1.73202079233948,-0.356639460518571,0,0,0.4,0.019,0.034,0.059,41.8055921553397,88.6997568755029,175.638300993727,NA,NA,NA
"Sprague's Pipit",-5.55461626278368,-4.70196012422571,-3.82750716422241,0,0,0,0.503,0.7595,1.127025,11.6889377137695,19.4130921642527,31.9931469481771,NA,NA,NA
"Horned Lark",-4.81032256025036,-4.31198469351879,-3.80984052440085,0,0,0,5.68195,7.026,8.7151,17.313919090595,22.8941736768349,30.3095179906075,NA,NA,NA
"Thick-billed Longspur",-11.1237461066443,-8.69614824332852,-6.22632470346096,0,0,0,0.086,0.273,0.849,0.255515868906076,1.4408934211624,7.16817523138017,NA,NA,NA
"LeConte's Sparrow",-4.12872804453361,-3.04136878305632,-1.86486967840519,0,0,0,0.383,0.617,1.036,24.4817553152466,44.4174014465559,82.5978568592045,NA,NA,NA
"Blackpoll Warbler",-6.29094615989686,-4.71985442282029,-3.50712347458785,0,0,0,1.140975,1.7565,2.69105,7.85871657769574,19.6186188693001,38.3441678418873,NA,NA,NA
"Eastern Meadowlark",-3.6708242908475,-3.30698024446496,-2.95563679175101,0,0,0,1.025975,1.199,1.401,34.5666544769574,42.074834840289,51.0295021904021,2073,2080,2086
